Date,In situ measurement (Aloha station),Calculated (Aloha station),,,Year,Date,pH,Uncertainty,Lower uncertainty limit,Upper uncertainty limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/88,,8.1097,,,1985,7/1/85,8.110209,0.017,8.093,8.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/88,,8.1092,,,1986,7/1/86,8.10902,0.016,8.093,8.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/89,,8.1168,,,1987,7/1/87,8.107591,0.016,8.092,8.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/89,,8.1316,,,1988,7/1/88,8.104618,0.015,8.089,8.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/89,,8.1218,,,1989,7/1/89,8.103392,0.015,8.088,8.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/89,,8.1158,,,1990,7/1/90,8.102387,0.015,8.088,8.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/89,,8.1018,,,1991,7/1/91,8.1013775,0.015,8.087,8.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/89,,8.0991,,,1992,7/1/92,8.100578,0.015,8.086,8.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/89,,8.093,,,1993,7/1/93,8.100015,0.014,8.086,8.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/89,,8.099,,,1994,7/1/94,8.098082,0.014,8.084,8.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/89,,8.0858,,,1995,7/1/95,8.09589,0.014,8.082,8.110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/89,,8.1101,,,1996,7/1/96,8.094436,0.014,8.081,8.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/90,,8.1332,,,1997,7/1/97,8.094322,0.014,8.081,8.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/90,,8.1229,,,1998,7/1/98,8.090934,0.014,8.077,8.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/90,,8.134,,,1999,7/1/99,8.088261,0.014,8.075,8.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/90,,8.1229,,,2000,7/1/00,8.08717,0.013,8.074,8.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/90,,8.1167,,,2001,7/1/01,8.085931,0.013,8.073,8.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/90,,8.1232,,,2002,7/1/02,8.0847025,0.013,8.071,8.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/90,,8.1084,,,2003,7/1/03,8.082688,0.013,8.070,8.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/90,,8.085,,,2004,7/1/04,8.081276,0.013,8.068,8.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/90,,,,,2005,7/1/05,8.079414,0.013,8.066,8.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/90,,8.1212,,,2006,7/1/06,8.077796,0.013,8.065,8.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/91,,8.1256,,,2007,7/1/07,8.075752,0.013,8.063,8.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/91,,8.1263,,,2008,7/1/08,8.074051,0.013,8.061,8.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/91,,8.1231,,,2009,7/1/09,8.073098,0.013,8.060,8.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/91,,8.1144,,,2010,7/1/10,8.071523,0.013,8.058,8.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/91,,8.1139,,,2011,7/1/11,8.069221,0.013,8.056,8.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/91,,8.112,,,2012,7/1/12,8.067682,0.013,8.055,8.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/91,,8.0992,,,2013,7/1/13,8.065316,0.013,8.052,8.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/91,,8.0943,,,2014,7/1/14,8.0642605,0.013,8.051,8.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/91,,8.0981,,,2015,7/1/15,8.062893,0.013,8.050,8.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/91,,8.104,,,2016,7/1/16,8.059907,0.013,8.046,8.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/92,,8.1177,,,2017,7/1/17,8.057357,0.014,8.044,8.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/92,,8.1256,,,2018,7/1/18,8.055486,0.014,8.042,8.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/92,,8.119,,,2019,7/1/19,8.053486,0.014,8.039,8.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/92,8.107,8.1099,,,2020,7/1/20,8.051399,0.014,8.037,8.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/92,8.087,8.1152,,,2021,7/1/21,8.049206,0.015,8.035,8.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/92,8.091,8.0977,,,2022,7/1/22,8.047449,0.015,8.033,8.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/92,8.095,8.0956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/92,8.093,8.0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/92,,8.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/92,8.099,8.1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/92,8.106,8.1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/93,8.122,8.1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/93,8.115,8.1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/93,8.111,8.1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/93,8.114,8.1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/93,,8.0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/93,8.105,8.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/94,,8.1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/94,,8.1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/94,,8.1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/94,,8.1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/94,8.095,8.0858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/94,8.092,8.0883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/94,8.089,8.0875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/94,8.087,8.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/94,8.103,8.1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/95,8.112,8.1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/95,8.113,8.1171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/95,8.103,8.1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/95,8.111,8.1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/95,8.086,8.0937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/95,8.087,8.0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/26/95,8.075,8.0886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/95,8.089,8.0997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/95,8.097,8.1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/96,8.104,8.1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/96,8.114,8.1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/96,8.106,8.1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/96,8.09,8.0946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/96,8.078,8.0902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/96,8.084,8.0889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/96,8.078,8.0829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/96,8.084,8.0836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/96,8.091,8.0924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/96,8.113,8.1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/97,8.115,8.1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/97,8.088,8.0856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/97,8.092,8.1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/97,8.088,8.1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/97,8.1,8.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/97,8.101,8.1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/97,8.091,8.0895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/97,8.086,8.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/97,8.08,8.0805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/97,8.107,8.1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/98,8.111,8.1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/98,8.117,8.1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/98,8.101,8.1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/98,8.109,8.1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/98,8.111,8.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/98,8.096,8.0937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/98,,8.0805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/98,,8.0818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/98,,8.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/98,,8.0818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/98,,8.0825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/98,,8.0948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/99,,8.0895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/99,,8.0997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/99,,8.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/99,,8.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/99,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/99,,8.0938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/99,,8.0759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/99,,8.0711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/99,,8.0824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/99,,8.0818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/00,,8.0966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/00,,8.0946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/00,,8.0942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/00,,8.0941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/00,,8.0677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/00,,8.0831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/00,,8.0872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/00,,8.0827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/00,,8.0678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/00,,8.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/20/00,,8.0922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/01,,8.0929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/01,,8.0881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/01,,8.0894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/01,,8.0938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/01,,8.0948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/01,,8.0984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/01,,8.0857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/01,,8.0757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/01,,8.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/01,,8.0885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/01,,8.0814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/01,,8.0925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/02,,8.0959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/21/02,,8.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/02,,8.1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/02,,8.0811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/02,,8.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/02,,8.0706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/02,,8.0862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/02,,8.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/02,,8.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/02,,8.0937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/03,,8.1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/03,,8.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/03,,8.1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/03,,8.0963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/03,,8.0905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/03,8.083,8.0824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/03,8.065,8.0777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/03,8.071,8.0829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/03,8.083,8.0873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/03,8.083,8.0884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/20/03,8.107,8.1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/04,8.103,8.0967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/04,8.097,8.1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/04,8.114,8.1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/04,8.094,8.0988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/04,8.083,8.0878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/04,8.081,8.0852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
